courseNumber,courseTitle,crn,department,description,distDesg,meetingPattern,prerequisites
103,Sports and Society,10744,SOCY,"Society’s love of sport is matched only by the belief that it is an area not worthy of deeper thought, inquiry, or critique (this especially applies in the United States). This course seeks to understand this seemingly paradoxical notion that sport is both one of most powerful and least respected and unserious institutions in the modern world. To do so we begin by working through theoretical approaches that give us a way to make social sense of these paradoxes and the phenomenon of sport itself.We read, watch, and discuss a wide range of sports and physical practices and interrogate sport from varying analytical levels. We cover modern sport’s historical foundations and deep cultural meaning. Then we focus on sport’s connection to colonialism, nationalism, and broader global and economic systems. We then shift our attention to youth sports culture in the United States and how family life and childhood are intimately connected to sport. In the second half of the course, we center gender and race in order...",['YCSO'],[],Value Not Provided
133,"Computers, Networks, and Society",10745,SOCY,"Comparison of major algorithm-centered approaches to the analysis of complex social network and organizational data. Fundamental principles for developing a disciplined and coherent perspective on the effects of modern information technology on societies worldwide. Software warfare and algorithm sabotage; blockmodeling and privacy; legal, ethical, and policy issues.",['YCSO'],['TTh 1.00-2.15'],No prior experience with computers required.
144,"Race, Ethnicity, and Immigration",10746,SOCY,"Exploration of sociological studies and theoretical and empirical analyses of race, ethnicity, and immigration, with focus on race relations and racial and ethnic differences in outcomes in contemporary U.S. society (post-1960s). Study of the patterns of educational and labor market outcomes, incarceration, and family formation of whites, blacks (African Americans), Hispanics, and Asian Americans in the United States, as well as immigration patterns and how they affect race and ethnic relations.",['YCSO'],['MW 10.30-11.20'],Value Not Provided
169,Visual Sociology,10748,SOCY,"Introduction to themes and methods in visual sociology. The role and use of visual information in social life, including images, objects, settings, and human interactions. Ethnographic photography, the study of media images, maps and diagrams, observation and coding of public settings, unobtrusive measures, and the use of internet resources.",['YCSO'],"['Th 1.30-3.20', '1 HTBA WLH 112']",Value Not Provided
205,Politics and Culture,10750,SOCY,"This class explores the link between politics and culture, by delving into three subsets of political culture: civil society and power, political performance and communication, and collective action. Throughout the semester, we explore culture as a social force which can shift political life in new directions. Our deep engagement starts with civil society and power, specifically the American understanding of community, to see how civic Republicanism and radical individualism undergird participation in social life. Here, we deconstruct how Americans perceive themselves as political actors and members of a political community, and frame their participation in politics. In political performance and communication, we explore several topics: political speeches, populism as a style, media as a realm of political performance, and collective memory. Learning about the performative side of politics, with real life material, we familiarize ourselves with narratives and deep stories told by people across the...",['YCSO'],['TTh 1.00-2.15'],Value Not Provided
305,"Latin American Immigration to the United States: Past, Present, and Future",10752,SOCY,"Immigration from Latin America is the one of the most important and controversial issues in the United States today. The family separation crisis, the infamous border wall, and the Dream Act dominate political debate. Latinos—numbering more than 60 million in the U.S.—are a large, heterogeneous, and growing group with a unique social, political, and cultural history. This course explores key current issues in immigration, as well as the history of Latin American migration to the U.S., with the aim of providing students the tools necessary to thoughtfully participate in current debates.",['YCSO'],['MW 9.00-10.15'],Value Not Provided
390,Politics of Reproduction,10754,SOCY,"Reproduction as a process that is simultaneously biological and social, involving male and female bodies, family formation, and powerful social institutions such as medicine, law, and the marketplace. Sociological research on reproductive topics such as pregnancy, birth, abortion, contraception, infertility, reproductive technology, and aging. Core sociological concepts used to examine how the politics of reproduction are shaped by the intersecting inequalities of gender, race, class, and sexuality.","['YCSO', 'YCWR']",['T 3.30-5.20'],Value Not Provided
471,Individual Study,10755,SOCY,"Individual study for qualified juniors and seniors under faculty supervision. To register for this course, each student must submit to the director of undergraduate studies a written plan of study that has been approved by a faculty adviser.",[],['1 HTBA'],Value Not Provided
491,Senior Essay and Colloquium for Nonintensive Majors,10756,SOCY,"Independent library-based research under faculty supervision. To register for this course, students must submit a written plan of study approved by a faculty adviser to the director of undergraduate studies no later than the end of registration period in the term in which the senior essay is to be written. The course meets biweekly, beginning in the first week of the term.",[],"['W 1.30-3.20', '1 HTBA WTS B62']",Value Not Provided
493,Senior Essay and Colloquium for Intensive Majors,10757,SOCY,"Independent research under faculty direction, involving empirical research and resulting in a substantial paper. Workshop meets biweekly to discuss various stages of the research process and to share experiences in gathering and analyzing data.",[],"['W 1.30-3.20', '1 HTBA']",Value Not Provided
112,Foundations in Education Studies,10983,SOCY,"Introduction to key issues and debates in the U.S. public education system. Focus on the nexus of education practice, policy, and research. Social, scientific, economic, and political forces that shape approaches to schooling and education reform. Theoretical and practical perspectives from practitioners, policymakers, and scholars.",['YCSO'],['TTh 10.30-11.20'],Value Not Provided
275,Climate Privilege: A Sophomore Seminar,11108,SOCY,"There are massive and consequential inequalities between those who produce the most carbon and those who suffer the effects. In this discussion-based seminar designed for sophomores, students first review basic information about climate warming and learn about the emergence of the environmental justice approach, which foregrounds intersecting inequalities such as race and class. Then, they engage with interdisciplinary readings on privilege, complicity, and complacency to develop a more systematic understanding of “climate privilege” and how it contributes to forestalling the social, political, economic, and cultural changes necessary to reduce climate warming. The course also involves a basic introduction and practice with selected social scientific research methods, including surveys, observations, and interviews.",['YCSO'],['W 3.30-5.20'],Value Not Provided
410,Political Protests,12258,SOCY,"The 2010s was the “decade of protest,” and 2019 capped this decade with an upsurge of protests all over the world. In 2020, amidst the Covid-19 pandemic, the US is witnessing the broadest protests in its history.What are the roots of these protests? Under what conditions does protest start?Why do people decide to join a protest? Under what conditions do protests succeed? Can repression kill protest movements?Focusing on recent protest movements across the world, this seminar addresses these, and other questions related to the study of political protest.",['YCSO'],"['Th 9.25-11.15', '1 HTBA RKZ 202']",Value Not Provided
151,Foundations of Modern Social Theory,12383,SOCY,"Major works of social thought from the beginning of the modern era through the 1900s. Attention to social and intellectual concepts, conceptual frameworks and methods, and contributions to contemporary social analysis. Writers include W.E.B. Du Bois, Simone De Beauvoir, Adam Smith, Thomas Hobbes, Jean-Jacques Rousseau, Immanuel Kant, Emile Durkheim, Max Weber, and Karl Marx.",['YCSO'],"['TTh 11.35-12.25', '1 HTBA WLH 116']",Value Not Provided
100,Introduction to Population Studies,14343,SOCY,"This course offers an introduction to population studies/demography. Population studies cover all aspects related to human populations. The topics that demographers or population scientists study range from health disparities in the United States, the impact of AIDS on population health in Africa, migration patterns from Latin America, the reasons behind sex-selective abortions in Asia, the implications of low fertility in Europe, and the socioeconomic impact of COVID19. Understanding population dynamics is crucial to professionals in a diversity of careers and industries. For example, city planners, environmental engineers, and health policy experts all use demographic expertise about population growth, migration patterns, and health and longevity in decisions on issues such as how many schools a city should build, how much water a region needs over twenty years, and what type of public health initiatives would best serve a community. Professionals in business also rely on demographic knowledge to make...","['YCSC', 'YCSO']","['MW 3.30-4.20', '1 HTBA WLH 119']",Value Not Provided
110,Beginning Yorùbá I,13462,AFST,"Training and practice in speaking, listening, reading, and writing. Initial emphasis is on the spoken aspect, with special attention to unfamiliar consonantal sounds, nasal vowels, and tone, using isolated phrases, set conversational pieces, and simple dialogues. Multimedia materials provide audio practice and cultural information.",['YCL1'],['M-F 9.25-10.15'],Value Not Provided
130,Intermediate Yorùbá I,13464,AFST,"Refinement of students' speaking, listening, reading, and writing skills. More natural texts are provided to prepare students for work in literary, language, and cultural studies as well as for a functional use of Yorùbá.",['YCL3'],['M-F 10.30-11.20'],After YORU 120.
150,Advanced Yorùbá I,13466,AFST,"An advanced course intended to improve students' aural and reading comprehension as well as speaking and writing skills. Emphasis on acquiring a command of idiomatic usage and stylistic nuance. Study materials include literary and nonliterary texts; social, political, and popular entertainment media such as movies and recorded poems (ewì); and music.",['YCL5'],['MW 1.00-2.15'],After YORU 140.
180,Advanced Topics in Yorùbá Literature and Culture,13469,AFST,"Designed for students with superior proficiency in Yorùbá who have an interest in topics not otherwise covered by existing courses. Development of language proficiency to the level of an educated native speaker. Discussion of advanced readings on Yorùbá philosophy, history, literature, and culture.",['YCL5'],['MW 11.35-12.50'],Value Not Provided
170,Topics in Yorùbá Literature and Culture,14300,AFST,"Advanced readings and discussion concerning Yorùbá literature and culture. Focus on Yorùbá history, poetry, novels, movies, dramas, and oral folklore, especially from Nigeria. Insight into Yorùbá philosophy and ways of life.","['YCHU', 'YCL5']",['TTh 11.35-12.50'],Prerequisite: YORU 160.
445,Biomedical Image Processing and Analysis,10096,EENG,"This course is an introduction to biomedical image processing and analysis, covering image processing basics and techniques for image enhancement, feature extraction, compression, segmentation, registration and motion analysis including traditional and machine learning techniques. Student learn the fundamentals behind image processing and analysis methods and algorithms with an emphasis on biomedical applications.",[],[],Prerequisite: BENG 352 or EENG 310 or permission of instructors. Recommended preparation: familiarity with probability theory.
475,Computational Vision and Biological Perception,10177,EENG,"An overview of computational vision with a biological emphasis. Suitable as an introduction to biological perception for computer science and engineering students, as well as an introduction to computational vision for mathematics, psychology, and physiology students.","['YCQR', 'YCSC']",['MW 2.30-3.45'],"Prerequisite: CPSC 112 and MATH 120, or with permission of instructor."
200,Introduction to Electronics,11113,EENG,"Introduction to the basic principles of analog and digital electronics. Analysis, design, and synthesis of electronic circuits and systems. Topics include current and voltage laws that govern electronic circuit behavior, node and loop methods for solving circuit problems, DC and AC circuit elements, frequency response, nonlinear circuits, semiconductor devices, and small-signal amplifiers. A lab session approximately every other week.","['YCQR', 'YCSC', 'YCWR']",['TTh 11.35-12.25'],After or concurrently with MATH 115 or equivalent.
202,Introduction to Communications and Control,11114,EENG,"Introduction to systems that sense, process, control, and communicate. Topics include information theory and coding (compression, channel coding); network systems (network architecture, routing, wireless networks); signals and systems (linear systems, Fourier techniques, bandlimited sampling); estimation and learning (hypothesis testing, regression, classification); and end-to-end application examples (security, communication systems). MATLAB programming assignments illustrate concepts. Students should have basic familiarity with counting (combinatorics), probability and statistics (independence between events, conditional probability, expectation of random variables, uniform distribution).",['YCQR'],['MW 9.00-10.15'],Prerequisite: MATH 115. AP Stats preferred.
325,Microelectronic Circuits,11117,EENG,"Models for active devices; single-ended and differential amplifiers; current sources and active loads; operational amplifiers; feedback; design of analog circuits for particular functions and specifications, in actual applications wherever possible, using design-oriented methods. Includes a team-oriented design project for real-world applications, such as a high-power stereo amplifier design. Electronics Workbench is used as a tool in computer-aided design.Additional lab one afternoon per week.",['YCQR'],['TTh 11.35-12.50'],Prerequisite: EENG 200.
400,Electronic Materials,11118,EENG,"Survey and review of fundamental material issues pertinent to modern microelectronic and optoelectronic technology.Topics include band theory, electronic transport, surface kinetics, diffusion, defects in crystals, thin film elasticity, crystal growth, and heteroepitaxy.
Formerly EENG 408.","['YCQR', 'YCSC']",['TTh 1.00-2.15'],Prerequisite:EENG 320 or permission of instructor.
428,Cloud Computing with FPGAs,11119,EENG,"This course is an intermediate to advanced level course focusing on digital design and use of Field Programmable Gate Arrays (FPGAs). The course centers around the new cloud computing paradigm of using FPGAs that are hosted remotely by cloud providers and accessed remotely by users. The theoretical aspects of the course focus on digital system modeling and design using the Verilog Hardware Description Language (Verilog HDL). In the course, students learn about logic synthesis, behavioral modeling, module hierarchies, combinatorial and sequential primitives, and implementing and testing the designs in simulation and real FPGAs. Students learn about topics ranging from higg-level ideas about cloud computing to low-level details of interfacing servers to FPGAs, PCIe protocol, AXI protocol, and other common communication protocols between hardware modules or between the FPGAs and the host computer, including Serial, SPI, and I2C. Students also learn about and use FPGA tools from Xilinx, but course also...",['YCQR'],['TTh 11.35-12.50'],Prerequisites: EENG 201 and 348 or permission of the instructor. Students should be familiar with digital design basics and have some experience with Hardware Description Languages such as Verilog or VHDL.
431,Foundations of Data Science,11120,EENG,"Recent advances in data science have enabled us to make tremendous progress in various fields including robotis, machine learning, computer vision, medicine, etc.This course provides an easy, yet rigorous, introduction to the mathematical and algorithmic foundations of data science. We cover key ideas that have led to such progress from statistics to optimization. The course is organized around three themes: What is learning? What algorithms we can use to learn? How can we optimize resources for efficient learning?",['YCSC'],['MW 1.00-2.15'],"Prerequisites: MATH 120, MATH 222, CPSC 365, and STAT 241."
432,Linear Systems,11121,EENG,"Introduction to finite-dimensional, continuous, and discrete-time linear dynamical systems. Exploration of the basic properties and mathematical structure of the linear systems used for modeling dynamical processes in robotics, signal and image processing, economics, statistics, environmental and biomedical engineering, and control theory.",['YCQR'],['MW 1.00-2.15'],Prerequisite: MATH 222 or permission of instructor.
452,Internet Engineering,11124,EENG,"Introduction to basic Internet protocols and architectures. Topics include packet-switch and multi-access networks, routing, flow control, congestion control, Internet protocols (IP, TCP, BGP), the client-server model, IP addressing and the domain name system, wireless access networks, and mobile communications.",['YCQR'],['TTh 2.30-3.45'],"Prerequisite: a college-level course in mathematics, engineering, or computer science, or with permission of instructor."
426,Silicon Compilation,11353,EENG,"An upper-level course on compiling computations into digital circuits using asynchronous design techniques. Emphasis is placed on the synthesis of circuits that are robust to uncertainties in gate and wire delays by the process of program transformations. Topics include circuits as concurrent programs, delay-insensitive design techniques, synthesis of circuits from programs, timing analysis and performance optimization, pipelining, and case studies of complex asynchronous designs.",[],['MW 11.35-12.50'],"Prerequisite: EENG 201 and introductory programming, or permission of instructor."
450,Applied Digital Signal Processing,11356,EENG,"An analysis, by computer, of processing requirements. Relevant probability and estimation theories applied to measurements corrupted by noise. Point estimates and system identification from random processes. MATLAB simulations verify the analysis.",['YCQR'],['TTh 1.00-2.15'],Prerequisite: EENG 310 or permission of instructor.
439,Neural Networks and Learning Systems,11358,EENG,"Neural networks (NNs) have become all-pervasive giving us self-driving cars, Siri Voice assistants, Alexa, and much more. While deep NNs deliver state-of-the-art accuracy on many artificial intelligence tasks, it comes at the cost of high computational complexity. Accordingly, designing efficient hardware architectures for deep neural networks is an important step towards enabling the wide deployment of NNs, particularly in low-power computing platforms, such as, mobiles, embedded Internet of Things (IoT) and drones.This course aims to provide a thorough overview on deep learning techniques, while highlighting the key trends and advances toward efficient processing of deep learning in hardware systems, considering algorithm-hardware co-design techniques.",[],['MW 11.35-12.50'],"Prerequisites:MATH 222 or CPSC 202, EENG 201, and knowledge of Python programming."
235,Special Projects,11360,EENG,"Faculty-supervised individual or small-group projects with emphasis on laboratory experience, engineering design, or tutorial study. Students are expected to consult the director of undergraduate studies and appropriate faculty members about ideas and suggestions for suitable topics during the term preceding enrollment. These courses may be taken at any time during the student's career. Enrollment requires permission of both the instructor and the director of undergraduate studies, and submission to the latter of a one- to two-page prospectus signed by the instructor. The prospectus is due in the departmental office one day prior to the date that the student's course schedule is due.",[],['1 HTBA'],Value Not Provided
468,Advanced Special Projects,11361,EENG,"Faculty-supervised individual or small-group projects with emphasis on research (laboratory or theory), engineering design, or tutorial study. Students are expected to consult the director of undergraduate studies and appropriate faculty members about ideas and suggestions for suitable topics during the term preceding enrollment. This course may only be taken once and at any appropriate time during the student's career; it does not fulfill the senior requirement. Enrollment requires permission of both the instructor and the DUS, and submission to the latter of a one- to two-page prospectus approved by the instructor.The prospectus is due to the DUS one day prior to the date that the student's course schedule is due.",[],['1 HTBA'],Value Not Provided
471,Senior Advanced Special Projects,11362,EENG,"Faculty-supervised individual or small-group projects with emphasis on research (laboratory or theory), engineering design, or tutorial study. Students are expected to consult the director of undergraduate studies and appropriate faculty members about ideas and suggestions for suitable topics during the term preceding enrollment. This course is only open to seniors and is one of the courses that fulfills the senior requirement. Enrollment requires permission of both the instructor and the DUS, and submission to the latter of a one- to two-page prospectus approved by the instructor.The prospectus is due to the DUS one day prior to the date that the student's course schedule is due.",[],['1 HTBA'],Value Not Provided
498,Senior Tutorial in Classics,11154,CLSS,"Tutorial for seniors in Classics. As a culminating experience in the major, the student completes under the supervision of a faculty member an original research project, intensive language and literature study, or a creative endeavor. To register, the student must submit a written plan of study for approval by the director of undergraduate studies and the faculty instructor. Fulfills the senior requirement for the B.A. degree.",[],['1 HTBA'],Enrollment limited to senior students majoring in Classics.
226,The Global Scientific Revolution,10298,HSHM,"The material, political,cultural, and social transformations that underpinned the rise of modern science between the 14th and 18th century, considered in global context. Topics include artisanal practices and the empirical exploration of nature; global networks of knowledge and trade, and colonial science; figurative arts and the emersion of a visual language of anatomy, astronomy, and natural history.","['PREI', 'YCHU']","['MW 11.35-12.50', '1 HTBA WLH 207']",Value Not Provided
321,Cultures of Western Medicine,10299,HSHM,"A survey of Western medicine and its global encounters, encompassing medical theory, practice, institutions, and healers from antiquity to the present. Changing concepts of health, disease, and the body in Europe and America explored in their social, cultural, economic, scientific, technological, and ethical contexts.",['YCHU'],"['1 HTBA HQ L02', 'MW 10.30-11.20']",Value Not Provided
420,Senior Project Workshop,10300,HSHM,"A research workshop for seniors in the HSHM major, intended to move students toward the successful completion of their senior projects and to provide a community for support and for facilitated peer review. Meets periodically throughout the semester for students to discuss stages of the research process, discuss common challenges and practical strategies for addressing them, and to collaboratively support each others' work. The workshop events are structured around the schedule for the fall-to-spring two-term senior project, but students writing one-term projects or spring-to-fall projects also benefit from them, and there is at least one peer review session to support their key deadlines each semester too. Students completing their senior project in the same semester as the workshop have to share their key findings with peers in a celebratory discussion of key ideas, findings, and processes.Students may take both the Fall and the Spring workshop or select the semester that best helps them complete the...",[],['W 3.30-5.20'],"Students must be seniors in the HSHM major and must be signed up for HSHM 490, 491, or 492 to take this course."
422,"Cartography, Territory, and Identity",10301,HSHM,"Exploration of how maps shape assumptions about territory, land, sovereignty, and identity. The relationship between scientific cartography and conquest, the geography of statecraft, religious cartographies, encounters between Western and non-Western cultures, and reactions to cartographic objectivity. Students make their own maps.","['YCHU', 'YCWR']",['T 1.30-3.20'],No previous experience in cartography or graphic design required.
429,Decolonizing the Mind,10302,HSHM,"This seminar explores the effects of colonialism and post-colonial power relations on the production of scientific, medical, and embodied knowledge about psychiatry. First, we read debates over the geographies of power and distrust in medicine. How have colonialism and post-colonial power relations defined the tasks of non-European psychiatry? What does it mean to decolonize psychiatric practice or culture? Second, we examine the nature of rationality. Is reason singular, plural, or culturally bound or universal? To what extent is spirit possession a rational experience? Third, we explore the relationship between scientific representations, social practices, and local culture. What relationship exists between social practices and culturally shared categories of knowledge? Is psychiatry universalizable?Students learn to analyze and debate these questions by drawing on films, letters, photography, and monographs produced in and about Algeria, Argentina, Brazil, China, Cuba, Indonesia, and Vietnam.","['YCHU', 'YCSO', 'YCWR']",['M 1.30-3.20'],Value Not Provided
445,"Fetal Histories: Pregnancy, Life, and Personhood in the American Cultural Imagination",10303,HSHM,"In our twenty-first-century historical moment, the fetus is a powerful political and cultural symbol. One’s fetal politics likely predicts a lot about how they live their life, vote, worship, and even about how they understand themselves. How, then, has the fetus come to carry the cultural significance that it does? Are there other ways one might think of the fetus? And what is happening in the background when we center the fetus up front?This course examines the many cultural meanings of the fetus in American life: from a clump of cells, to a beloved family member, to political litmus test, and considers the way that these different meanings are connected to questions of human and civil rights, gender relations, bodily autonomy, and political life. We look at the history of our very idea of the fetus and consider how we got here. Each of us may have a different idea of what the fetus is, but every one of those ideas has a particular history. We work to understand those histories, their contexts, and...","['YCHU', 'YCWR']",['T 3.30-5.20'],Value Not Provided
468,"Sex, Life, and Generation",10304,HSHM,"Theories and practices of life, sex, and generation in Western civilization. Politics and policies of conception and birth; social control of abortion and infanticide in premodern societies; theories of life and gender; the changing status of the embryo; the lure of artificial life.","['YCHU', 'YCWR']",['Th 9.25-11.15'],Value Not Provided
470,Directed Reading,10305,HSHM,"Readings directed by members of the faculty on topics in the history of science, medicine, or public health not covered by regular course offerings. Subjects depend on the interests of students and faculty. Weekly conferences; required papers.",[],['1 HTBA'],Value Not Provided
490,Yearlong Senior Project,10306,HSHM,"Preparation of a yearlong senior project under the supervision of a member of the faculty. There will be a mandatory meeting at the beginning of the term for students who have chosen the yearlong senior project; students will be notified of the time and location by e-mail before classes begin. Majors planning to begin their projects who do not receive this notice should contact the senior project director. Students expecting to graduate in May enroll in HSHM 490 during the fall term and complete their projects in HSHM 491 in the spring term. December graduates enroll in HSHM 490 in the spring term and complete their projects in HSHM 491 during the following fall term. Majors planning to begin their projects in the spring term should notify the senior project director by the last day of classes in the fall term. Students must meet progress requirements by specific deadlines throughout the first term to receive a temporary grade of SAT for HSHM 490, which will be changed to the grade received by the...",[],['1 HTBA'],Value Not Provided
492,One-Term Senior Project,10308,HSHM,"Preparation of a one-term senior project under the supervision of an HSHM faculty member, or of an affiliated faculty member with approval of the director of undergraduate studies. There will be a mandatory meeting at the beginning of the term for students who have chosen the one-term senior project; students will be notified of the time and location by e-mail before classes begin. Majors planning to begin their projects who do not receive this notice should contact the senior project director. Students expecting to graduate in May enroll in HSHM 492 during the fall term. December graduates enroll in HSHM 492 in the preceding spring term. Students planning to begin their project in the spring should notify the senior project director by the last day of classes in the fall term. Majors must submit a completed Statement of Intention form signed by the faculty member who has agreed to supervise the project to the HSHM administrator on the due date. Blank statement forms are available in the HSHM Senior...",[],['1 HTBA'],Value Not Provided
498,Collecting Bodies: Historical Approaches to Specimen Collection,10309,HSHM,"Why is there a room full of brains in the basement of Yale’s medical school, and why does it welcome hundreds of visitors every year? What compels us about the macabre spectacle of human remains, and what is their place in medical history? What kinds of stories can and should a museum space tell, and what are the multivalent functions of a collection like this in a university setting?Using Yale’s Cushing Center as a center of discussion, this class examines the ethics of collecting and viewing human specimens. The course ties these practices to histories of colonialism, racism, medicine, anthropology, and natural history while considering the cultural specificity of the collectors and the collected. Students analyze the kinds of stories that museum spaces can tell and imagine possibilities for ethical storytelling through both academic analysis and creative engagement. In doing so, we prioritize hands-on historical work while reading theory to address broader ethical and epistemological questions.","['YCHU', 'YCWR']",['Th 3.30-5.20'],"This course will, on occasion, meet at 333 Cedar St. to facilitate this hands-on work."
496,"Childbirth in America, 1650-2000",10357,HSHM,"This course considers the ways childbirth has been conducted in the United states over three centuries. Topics include the connections between childbirth and historical constructions of gender, race, and motherhood, as well as changes in the medical understanding and management of childbirth.","['YCHU', 'YCWR']",['Th 1.30-3.20'],Value Not Provided
201,Sustainable Energy: Physics and History,10658,HSHM,"Students explore the physical logic of energy and power in parallel with the histories of technology for energy exploitation and economic theories of sustainability on the path to modernity. They learn the fundamentals of quantitative analysis of contemporary and historical energy harvesting, its carbon intensity, and climate impact. They also gain an understanding of the historical underpinnings of the current global energy status quo and its relationship to economic theories of sustainability.","['YCQR', 'YCSC', 'YCSO']",['TTh 1.30-2.20'],Mathematical proficiency with algebra is assumed. Students from all academic interests and experiences are welcome in the course.
254,The Anthropology of Outer Space,10920,ANTH,"Examination of the extraterrestrial through consideration of ideas in anthropology and aligned disciplines. Students discuss, write, and think about outer space as anthropologists and find the value of exploring this topic scientifically, socially, and philosophically.","['YANS', 'YCSO']",[],Previously ANTH 399.
406,Healthcare for the Urban Underserved,10965,HSHM,"Exploration of the institutions, movements, and policies that have attempted to provide healthcare for the urban underserved in America from the late nineteenth century to the present, with emphasis on the ideas (about health, cities, neighborhoods, poverty, race, gender, difference, etc) that shaped them. Topics include hospitals, health centers, public health programs, the medical civil rights movement, the women’s health movement, and national healthcare policies such as Medicare and Medicaid.","['YCHU', 'YCWR']",['F 9.25-11.15'],Value Not Provided
464,Nature and Human Nature,11980,HSHM,"This course explores the Western conception of the human place in the natural world as it has shifted across four centuries. It features, alongside corollary readings, close study of three classic texts: Galileo's Dialogue Concerning the Two Chief World Systems(1632), Giambattista Vico's New Science(1744), and Darwin's Origin of Species (1859)―fundamental texts locating humans in the cosmos, in society, and in natural history, respectively. It finishes with a new work, Terrence Deacon's Incomplete Nature(2011), an attempt to explain the emergence of mind from the natural world.","['YCHU', 'YCSC']",['W 3.30-5.20'],"No prerequisites, though the challenging nature of the materials suggests that this course will be aimed mainly at students beyond their first year."
451,Introduction to the Occult Sciences,13184,HSHM,"This course provides a comparative history of the occult sciences from antiquity to the present. From Galen’s occult properties to Newton’s pursuit of alchemy, the notion that there are hidden forces in nature has played an immeasurable role in the development of religious thought, scientific reasoning, and literary endeavor. The modern impulse to separate religion from science and science from magic can obscure the centrality of an array of practices and beliefs across time and place. Far from a disenchanted present, magic and the occult are woven through the fabric of modernity. From healing crystals to the personalized astrology of Co-Star, tarot cards to New-Age inflected conspiracy theories, fortune tellers to countless films, we are surrounded by appeals to occult powers. Building on case studies from classical antiquity and Jewish, Christian, and Islamic letters, this course traces the development of the occult sciences through an array of historical periods, social contexts, and discursive...",['YCHU'],['TTh 10.30-11.20'],Value Not Provided
416,Beyond Tuskegee: Histories of Race and Human Subjects Research,14281,HSHM,"This course explores the history of race, racism, and human subjects research. It examines the history of human subjects research as a scientific practice and how practitioners interpreted the use of living and dead bodies for producing scientific knowledge. It examines how and why certain bodies become eligible for research and experimentation. This course shows how race, class, gender, and disability shape the history of human subjects research, and shows how human subjects were also deliberately selected from vulnerable populations. It focuses on the experiences of African Americans as research subjects, and consider other vulnerable populations such as children, the disabled, and the incarcerated.","['YCHU', 'YCWR']",['W 1.30-3.20'],Value Not Provided
233,"The Politics of Global Health, 1850-Present",16502,HSHM,"This course explores the emergence of global health from the 1851 International Sanitary Conference in Paris to contemporary global health and examines how health initiatives and policies have evolved over the last 150 years. We begin by examining the impact of colonialism on health systems, highlighting the introduction of Western medicine that dismantled local health systems and established healthcare infrastructures that primarily served colonial and elite interests. We then explore the rise of international health organizations, such as the Rockefeller Foundation, the League of Nations Health Organization (LNHO), and the World Health Organization (WHO), and the role of multilateral institutions in shaping global and local health policy in the postwar period. We also evaluate health missions between the Socialist bloc and the Third World and assess the successes and limitations of these alternative visions for promoting health equity. Over the course of the semester, we examine the experiences of...",['YCHU'],['TTh 11.35-12.50'],Value Not Provided
434,"Never ‘Civilized’ Enough?: Science, Technology and the British Colonial Rule in India (1800-1940)",16506,HSHM,"This course explores how the motivations and mechanisms of colonial power worked through 'science' and 'technology.' By focusing on scientific societies, surveys, botany, medicine, and sanitation, the course first demonstrates how colonial rule viewed India as a field for experiments and also applying of scientific knowledge already established in Europe. We then examine how technological changes facilitated the colonial rule's aim of securing fiscal resources, connecting hinterlands to markets, ensuring relentless passage of information, and ensuring everyday surveillance. By exploring the histories of irrigation, railways, telegraph, electrification, and urban transportation, the lectures for this section demonstrate how the Empire governed through built networks. In exploring the modalities of colonial power, we note how it functioned by asserting that scientific enterprises and technological changes would 'improve' the condition of Indians, ensure their passage into 'civilization,' and consolidate...",['YCHU'],['MW 11.35-12.50'],Value Not Provided
423,Healing Spaces in U.S. History,16507,HSHM,"Where does healing happen? Is place an important factor in health care? How has the design of a space influenced health? What is the relationship between nature and health? Students in this course investigate healing spaces in the history of American medicine and consider how space has been understood to interact with health. We discuss health care in institutions, mobile settings, and natural spaces. From ambulances and hospitals to homes and gardens, we consider the impact of setting on patients and practitioners. The course draws on resources local to New Haven as well as guest speakers. Students can expect to emerge from the course familiar with several healing spaces in New Haven and with the way space has impacted broader health care. While the course focus on U.S. history, I welcome student contributions addressing healing spaces beyond the U.S.","['YCHU', 'YCWR']",['Th 9.25-11.15'],Value Not Provided
437,"Visualizing the Invisible: Art, Science & Observation",16510,HSHM,"Dinosaurs, wilting plants, Jupiter’s moons, disembodied wombs, and DNA – over the last few hundred years, thinkers have engaged with interdisciplinary methods across the arts and sciences in visualizing and representing objects that have evaded the human eye. From anatomical theaters to observatories, natural history museums, labs, rainforests, and homes, people have struggled with the politics and poetics of visualizing and communicating “invisible” objects – things that were too far away, too small, too ephemeral, too long dead, or otherwise hidden from plain human sight. Asking how scientists, artists, and everyone in between were trained to see, we study the history of observation (or lack thereof) from the early modern period to the present, engaging with various technologies, methodologies, and intellectual frameworks. This class includes hands-on activities and exercises ranging from scientific illustration and glassblowing to homemade spirit photography and microscopic dissection, but no prior...","['YCHU', 'YCWR']",['W 3.30-5.20'],Value Not Provided
